CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python3.7 main.py
MEM 5742.347656 1655727265.8758
MEM 5758.304688 1655727265.9764
MEM 5773.992188 1655727266.0768
MEM 5790.464844 1655727266.1775
MEM 5807.191406 1655727266.2779
MEM 5823.664062 1655727266.3785
MEM 5838.851562 1655727266.4792
MEM 5855.324219 1655727266.5798
MEM 5872.054688 1655727266.6805
MEM 5888.273438 1655727266.7812
MEM 5903.484375 1655727266.8818
MEM 5919.726562 1655727266.9824
MEM 5935.968750 1655727267.0831
MEM 5952.726562 1655727267.1837
MEM 5967.773438 1655727267.2844
MEM 5984.476562 1655727267.3850
MEM 6000.953125 1655727267.4857
MEM 6017.167969 1655727267.5863
MEM 6032.601562 1655727267.6870
MEM 6049.078125 1655727267.7876
MEM 6065.546875 1655727267.8883
MEM 6082.011719 1655727267.9889
MEM 6098.492188 1655727268.0896
MEM 6113.675781 1655727268.1902
MEM 6130.136719 1655727268.2909
MEM 6146.355469 1655727268.3916
MEM 6162.582031 1655727268.4922
MEM 6177.535156 1655727268.5928
MEM 6193.777344 1655727268.6935
MEM 6210.019531 1655727268.7941
MEM 6226.261719 1655727268.8948
MEM 6237.179688 1655727268.9954
MEM 6244.117188 1655727269.0961
MEM 6260.589844 1655727269.1968
MEM 6277.050781 1655727269.2974
MEM 6293.523438 1655727269.3981
MEM 6308.964844 1655727269.4987
MEM 6325.429688 1655727269.5994
MEM 6341.914062 1655727269.7000
MEM 6358.386719 1655727269.8008
MEM 6374.082031 1655727269.9014
MEM 6390.300781 1655727270.0020
MEM 6406.773438 1655727270.1027
MEM 6423.250000 1655727270.2034
MEM 6439.984375 1655727270.3040
MEM 6455.167969 1655727270.4047
MEM 6471.667969 1655727270.5053
MEM 6488.320312 1655727270.6060
MEM 6504.792969 1655727270.7066
MEM 6519.976562 1655727270.8073
MEM 6536.699219 1655727270.9079
MEM 6553.175781 1655727271.0086
MEM 6569.636719 1655727271.1092
MEM 6585.082031 1655727271.2099
MEM 6601.550781 1655727271.3106
MEM 6618.019531 1655727271.4113
MEM 6634.746094 1655727271.5119
MEM 6649.929688 1655727271.6126
MEM 6666.667969 1655727271.7133
MEM 6683.140625 1655727271.8139
MEM 6699.875000 1655727271.9146
MEM 6716.089844 1655727272.0153
MEM 6731.558594 1655727272.1159
MEM 6748.316406 1655727272.2166
MEM 6764.816406 1655727272.3172
MEM 6781.410156 1655727272.4179
MEM 6796.855469 1655727272.5185
MEM 6813.328125 1655727272.6192
MEM 6829.792969 1655727272.7198
MEM 6846.523438 1655727272.8205
MEM 6861.707031 1655727272.9212
MEM 6878.171875 1655727273.0218
MEM 6894.902344 1655727273.1226
MEM 6911.375000 1655727273.2232
MEM 6926.566406 1655727273.3239
MEM 6943.285156 1655727273.4246
MEM 6959.773438 1655727273.5252
MEM 6976.246094 1655727273.6259
MEM 6991.714844 1655727273.7265
MEM 7008.214844 1655727273.8272
MEM 7024.972656 1655727273.9279
MEM 7041.472656 1655727274.0285
MEM 7058.039062 1655727274.1292
MEM 7059.585938 1655727274.2298
MEM 7076.046875 1655727274.3305
MEM 7092.777344 1655727274.4311
MEM 7109.503906 1655727274.5318
MEM 7125.968750 1655727274.6325
MEM 7141.152344 1655727274.7331
MEM 7157.882812 1655727274.8338
MEM 7174.351562 1655727274.9344
MEM 7191.085938 1655727275.0351
MEM 7206.519531 1655727275.1358
MEM 7222.992188 1655727275.2364
MEM 7239.722656 1655727275.3371
MEM 7256.222656 1655727275.4377
MEM 7271.433594 1655727275.5384
MEM 7288.191406 1655727275.6390
MEM 7304.691406 1655727275.7397
MEM 7321.027344 1655727275.8403
MEM 7336.214844 1655727275.9410
MEM 7352.937500 1655727276.0417
MEM 7369.394531 1655727276.1424
MEM 7385.871094 1655727276.2430
MEM 7401.050781 1655727276.3437
MEM 7417.515625 1655727276.4443
MEM 7433.996094 1655727276.5450
MEM 7450.718750 1655727276.6456
MEM 7467.187500 1655727276.7463
MEM 7482.117188 1655727276.8469
MEM 7498.847656 1655727276.9476
MEM 7515.347656 1655727277.0482
MEM 7531.847656 1655727277.1489
MEM 7547.058594 1655727277.2495
MEM 7563.816406 1655727277.3502
MEM 7580.406250 1655727277.4509
MEM 7596.882812 1655727277.5516
MEM 7612.054688 1655727277.6522
MEM 7628.773438 1655727277.7529
MEM 7645.246094 1655727277.8535
MEM 7661.710938 1655727277.9542
MEM 7677.156250 1655727278.0548
MEM 7693.628906 1655727278.1555
MEM 7710.089844 1655727278.2561
MEM 7726.828125 1655727278.3568
MEM 5283.859375 1655727278.4574
MEM 5368.542969 1655727278.5581
