CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python main.py
MEM 510.238281 1657730735.5548
MEM 510.753906 1657730735.6551
MEM 511.269531 1657730735.7555
MEM 511.785156 1657730735.8558
MEM 512.300781 1657730735.9561
MEM 512.816406 1657730736.0565
MEM 513.074219 1657730736.1569
MEM 513.589844 1657730736.2572
MEM 514.105469 1657730736.3576
MEM 514.878906 1657730736.4580
MEM 515.136719 1657730736.5584
MEM 515.652344 1657730736.6587
MEM 516.167969 1657730736.7591
MEM 516.683594 1657730736.8594
MEM 517.457031 1657730736.9598
MEM 517.972656 1657730737.0601
MEM 518.488281 1657730737.1604
MEM 519.003906 1657730737.2608
MEM 519.519531 1657730737.3611
MEM 520.035156 1657730737.4615
MEM 520.550781 1657730737.5618
MEM 521.066406 1657730737.6622
MEM 521.582031 1657730737.7626
MEM 522.097656 1657730737.8629
MEM 522.613281 1657730737.9633
MEM 523.386719 1657730738.0636
MEM 523.644531 1657730738.1639
MEM 524.160156 1657730738.2643
MEM 524.675781 1657730738.3646
MEM 525.191406 1657730738.4650
MEM 525.707031 1657730738.5653
MEM 526.222656 1657730738.6656
MEM 526.738281 1657730738.7660
MEM 527.253906 1657730738.8663
MEM 527.769531 1657730738.9666
MEM 528.285156 1657730739.0670
MEM 529.058594 1657730739.1674
MEM 529.574219 1657730739.2677
MEM 530.089844 1657730739.3681
MEM 530.347656 1657730739.4684
MEM 530.863281 1657730739.5688
MEM 531.378906 1657730739.6691
MEM 531.894531 1657730739.7695
MEM 532.410156 1657730739.8698
MEM 532.925781 1657730739.9701
MEM 533.441406 1657730740.0705
MEM 533.957031 1657730740.1709
MEM 534.472656 1657730740.2712
MEM 534.988281 1657730740.3716
MEM 535.761719 1657730740.4719
MEM 536.019531 1657730740.5723
MEM 536.535156 1657730740.6726
MEM 537.050781 1657730740.7730
MEM 537.566406 1657730740.8733
MEM 538.082031 1657730740.9737
MEM 538.597656 1657730741.0740
MEM 539.113281 1657730741.1743
MEM 539.628906 1657730741.2747
MEM 540.144531 1657730741.3750
MEM 540.660156 1657730741.4754
MEM 541.433594 1657730741.5757
MEM 541.949219 1657730741.6761
MEM 542.207031 1657730741.7764
MEM 542.722656 1657730741.8768
MEM 543.238281 1657730741.9771
MEM 543.753906 1657730742.0774
MEM 544.269531 1657730742.1778
MEM 544.785156 1657730742.2782
MEM 545.300781 1657730742.3785
MEM 545.816406 1657730742.4789
MEM 546.332031 1657730742.5792
MEM 546.847656 1657730742.6795
MEM 547.363281 1657730742.7799
MEM 547.878906 1657730742.8803
MEM 548.394531 1657730742.9807
MEM 548.910156 1657730743.0810
MEM 549.425781 1657730743.1814
MEM 549.941406 1657730743.2817
MEM 550.457031 1657730743.3820
MEM 550.972656 1657730743.4823
MEM 551.488281 1657730743.5826
MEM 552.003906 1657730743.6829
MEM 552.519531 1657730743.7833
MEM 553.035156 1657730743.8836
MEM 553.550781 1657730743.9840
MEM 554.324219 1657730744.0843
MEM 554.839844 1657730744.1847
MEM 555.355469 1657730744.2850
MEM 555.871094 1657730744.3854
MEM 556.386719 1657730744.4858
MEM 556.644531 1657730744.5861
MEM 557.160156 1657730744.6865
MEM 557.675781 1657730744.7869
MEM 558.191406 1657730744.8871
MEM 558.707031 1657730744.9875
MEM 559.222656 1657730745.0878
MEM 559.996094 1657730745.1881
MEM 560.253906 1657730745.2885
MEM 560.769531 1657730745.3888
MEM 561.285156 1657730745.4892
MEM 561.800781 1657730745.5895
MEM 562.316406 1657730745.6898
MEM 562.832031 1657730745.7902
MEM 563.347656 1657730745.8905
MEM 563.863281 1657730745.9909
MEM 564.378906 1657730746.0912
MEM 564.894531 1657730746.1916
MEM 565.410156 1657730746.2919
MEM 565.925781 1657730746.3923
MEM 566.441406 1657730746.4927
MEM 566.957031 1657730746.5930
MEM 567.472656 1657730746.6933
MEM 567.730469 1657730746.7937
MEM 568.246094 1657730746.8941
MEM 569.019531 1657730746.9944
MEM 569.535156 1657730747.0947
MEM 570.050781 1657730747.1951
MEM 570.566406 1657730747.2954
MEM 571.082031 1657730747.3958
MEM 571.597656 1657730747.4961
MEM 572.113281 1657730747.5964
MEM 572.371094 1657730747.6968
MEM 572.886719 1657730747.7971
MEM 573.402344 1657730747.8975
MEM 573.917969 1657730747.9978
MEM 574.433594 1657730748.0982
MEM 575.207031 1657730748.1985
MEM 575.464844 1657730748.2988
MEM 575.980469 1657730748.3992
MEM 576.496094 1657730748.4995
MEM 577.011719 1657730748.5999
MEM 577.527344 1657730748.7003
MEM 578.300781 1657730748.8006
MEM 578.558594 1657730748.9009
MEM 579.074219 1657730749.0013
MEM 579.589844 1657730749.1017
MEM 580.105469 1657730749.2020
MEM 580.621094 1657730749.3025
MEM 581.136719 1657730749.4028
MEM 581.652344 1657730749.5032
MEM 582.167969 1657730749.6036
MEM 582.683594 1657730749.7039
MEM 583.199219 1657730749.8043
MEM 583.714844 1657730749.9046
MEM 583.972656 1657730750.0049
MEM 584.488281 1657730750.1053
MEM 585.261719 1657730750.2056
MEM 585.777344 1657730750.3059
MEM 586.292969 1657730750.4063
MEM 586.808594 1657730750.5066
MEM 587.066406 1657730750.6069
MEM 587.582031 1657730750.7073
MEM 588.097656 1657730750.8077
MEM 588.613281 1657730750.9080
MEM 589.128906 1657730751.0083
MEM 589.644531 1657730751.1087
MEM 590.160156 1657730751.2090
MEM 590.675781 1657730751.3093
MEM 591.191406 1657730751.4096
MEM 591.707031 1657730751.5100
MEM 592.222656 1657730751.6103
MEM 592.738281 1657730751.7107
MEM 593.253906 1657730751.8110
MEM 593.769531 1657730751.9114
MEM 594.285156 1657730752.0118
MEM 594.542969 1657730752.1121
MEM 595.058594 1657730752.2125
MEM 595.574219 1657730752.3128
MEM 596.347656 1657730752.4131
MEM 596.863281 1657730752.5135
MEM 597.378906 1657730752.6138
MEM 597.636719 1657730752.7141
MEM 598.152344 1657730752.8145
MEM 598.667969 1657730752.9148
MEM 599.183594 1657730753.0151
MEM 599.699219 1657730753.1155
MEM 600.214844 1657730753.2158
MEM 600.988281 1657730753.3162
MEM 601.246094 1657730753.4166
MEM 601.761719 1657730753.5170
MEM 602.277344 1657730753.6173
MEM 602.792969 1657730753.7177
MEM 603.308594 1657730753.8180
MEM 603.824219 1657730753.9184
MEM 604.339844 1657730754.0187
MEM 604.855469 1657730754.1191
MEM 605.371094 1657730754.2195
MEM 605.886719 1657730754.3198
MEM 606.402344 1657730754.4202
MEM 606.917969 1657730754.5205
MEM 607.433594 1657730754.6209
MEM 607.691406 1657730754.7213
MEM 608.207031 1657730754.8216
MEM 608.722656 1657730754.9221
MEM 609.238281 1657730755.0225
MEM 609.753906 1657730755.1228
MEM 610.269531 1657730755.2231
MEM 610.785156 1657730755.3234
MEM 611.300781 1657730755.4238
MEM 611.816406 1657730755.5241
MEM 612.332031 1657730755.6245
MEM 612.847656 1657730755.7248
MEM 613.363281 1657730755.8251
MEM 613.878906 1657730755.9255
MEM 614.394531 1657730756.0258
MEM 614.910156 1657730756.1262
MEM 615.425781 1657730756.2265
MEM 615.941406 1657730756.3268
MEM 616.199219 1657730756.4272
MEM 616.714844 1657730756.5275
MEM 617.230469 1657730756.6279
MEM 617.746094 1657730756.7282
MEM 618.261719 1657730756.8285
MEM 618.777344 1657730756.9289
MEM 619.292969 1657730757.0293
MEM 619.808594 1657730757.1296
MEM 620.324219 1657730757.2300
MEM 620.839844 1657730757.3303
MEM 621.355469 1657730757.4307
MEM 621.613281 1657730757.5311
MEM 622.386719 1657730757.6314
MEM 622.902344 1657730757.7318
MEM 623.160156 1657730757.8321
MEM 623.933594 1657730757.9325
MEM 624.191406 1657730758.0328
MEM 624.707031 1657730758.1332
MEM 625.222656 1657730758.2335
MEM 625.738281 1657730758.3339
MEM 626.253906 1657730758.4341
MEM 626.769531 1657730758.5345
MEM 627.285156 1657730758.6348
MEM 627.800781 1657730758.7352
MEM 628.316406 1657730758.8355
MEM 628.832031 1657730758.9359
MEM 629.347656 1657730759.0362
MEM 629.863281 1657730759.1366
MEM 630.121094 1657730759.2369
MEM 630.636719 1657730759.3373
MEM 631.152344 1657730759.4376
MEM 631.667969 1657730759.5380
MEM 632.441406 1657730759.6383
MEM 632.699219 1657730759.7387
MEM 633.214844 1657730759.8390
MEM 633.730469 1657730759.9394
MEM 634.246094 1657730760.0397
MEM 634.761719 1657730760.1401
MEM 635.277344 1657730760.2404
MEM 635.792969 1657730760.3408
MEM 636.308594 1657730760.4412
MEM 636.824219 1657730760.5415
MEM 637.339844 1657730760.6419
MEM 637.597656 1657730760.7422
MEM 638.113281 1657730760.8425
MEM 638.886719 1657730760.9429
MEM 639.402344 1657730761.0433
MEM 639.917969 1657730761.1437
MEM 640.175781 1657730761.2440
MEM 640.691406 1657730761.3443
MEM 641.207031 1657730761.4447
MEM 641.722656 1657730761.5450
MEM 642.238281 1657730761.6454
MEM 642.753906 1657730761.7457
MEM 643.269531 1657730761.8460
MEM 643.785156 1657730761.9464
MEM 644.300781 1657730762.0467
MEM 644.816406 1657730762.1471
MEM 645.332031 1657730762.2474
MEM 645.847656 1657730762.3478
MEM 646.363281 1657730762.4482
MEM 646.621094 1657730762.5485
MEM 647.136719 1657730762.6488
MEM 647.910156 1657730762.7492
MEM 648.425781 1657730762.8495
MEM 648.683594 1657730762.9499
MEM 649.199219 1657730763.0502
MEM 649.714844 1657730763.1506
MEM 650.488281 1657730763.2509
MEM 650.746094 1657730763.3513
MEM 651.261719 1657730763.4516
MEM 651.777344 1657730763.5519
MEM 652.292969 1657730763.6523
MEM 652.808594 1657730763.7526
MEM 653.324219 1657730763.8529
MEM 653.839844 1657730763.9533
MEM 654.097656 1657730764.0536
MEM 654.613281 1657730764.1540
MEM 655.128906 1657730764.2544
MEM 655.644531 1657730764.3548
MEM 656.160156 1657730764.4551
MEM 656.675781 1657730764.5554
MEM 657.191406 1657730764.6558
MEM 657.707031 1657730764.7562
MEM 658.222656 1657730764.8565
MEM 658.480469 1657730764.9569
MEM 658.996094 1657730765.0572
MEM 659.769531 1657730765.1576
MEM 660.285156 1657730765.2579
MEM 660.800781 1657730765.3583
MEM 661.058594 1657730765.4586
MEM 661.574219 1657730765.5590
MEM 662.089844 1657730765.6593
MEM 662.347656 1657730765.7597
MEM 662.605469 1657730765.8601
MEM 663.121094 1657730765.9604
MEM 663.636719 1657730766.0608
MEM 664.152344 1657730766.1611
MEM 664.925781 1657730766.2615
MEM 665.183594 1657730766.3618
MEM 665.699219 1657730766.4622
MEM 666.214844 1657730766.5625
MEM 666.730469 1657730766.6629
MEM 666.988281 1657730766.7632
MEM 667.503906 1657730766.8636
MEM 668.019531 1657730766.9639
MEM 668.792969 1657730767.0642
MEM 669.050781 1657730767.1645
MEM 669.308594 1657730767.2650
MEM 670.082031 1657730767.3653
MEM 670.597656 1657730767.4656
MEM 670.855469 1657730767.5660
MEM 671.371094 1657730767.6663
MEM 671.886719 1657730767.7666
MEM 672.402344 1657730767.8670
MEM 672.917969 1657730767.9673
MEM 673.433594 1657730768.0677
MEM 673.949219 1657730768.1680
MEM 674.464844 1657730768.2683
MEM 674.980469 1657730768.3687
MEM 675.496094 1657730768.4690
MEM 675.753906 1657730768.5694
MEM 676.269531 1657730768.6697
MEM 676.785156 1657730768.7701
MEM 677.300781 1657730768.8705
MEM 677.816406 1657730768.9708
MEM 678.074219 1657730769.0711
MEM 678.847656 1657730769.1714
MEM 679.363281 1657730769.2718
MEM 679.878906 1657730769.3722
MEM 680.136719 1657730769.4725
MEM 680.652344 1657730769.5729
MEM 681.167969 1657730769.6732
MEM 681.683594 1657730769.7735
MEM 682.199219 1657730769.8738
MEM 682.714844 1657730769.9742
MEM 683.230469 1657730770.0745
MEM 683.746094 1657730770.1748
MEM 684.261719 1657730770.2752
MEM 684.777344 1657730770.3755
MEM 685.035156 1657730770.4759
MEM 685.550781 1657730770.5763
MEM 686.066406 1657730770.6767
MEM 686.839844 1657730770.7770
MEM 687.097656 1657730770.8773
MEM 687.613281 1657730770.9776
MEM 688.128906 1657730771.0780
MEM 688.644531 1657730771.1783
MEM 689.160156 1657730771.2786
MEM 689.675781 1657730771.3790
MEM 690.191406 1657730771.4793
MEM 690.707031 1657730771.5797
MEM 691.222656 1657730771.6800
MEM 691.480469 1657730771.7804
MEM 691.996094 1657730771.8807
MEM 692.511719 1657730771.9811
MEM 693.027344 1657730772.0815
MEM 693.285156 1657730772.1819
MEM 693.800781 1657730772.2822
MEM 694.316406 1657730772.3826
MEM 694.832031 1657730772.4829
MEM 695.347656 1657730772.5833
MEM 695.863281 1657730772.6836
